"","Sample_Size","Power"
"1",10,0.66
"2",11,0.644
"3",12,0.628
"4",13,0.612
"5",14,0.596
"6",15,0.58
"7",16,0.564
"8",17,0.548
"9",18,0.532
"10",19,0.516
"11",20,0.5
"12",21,0.487
"13",22,0.474
"14",23,0.461
"15",24,0.448
"16",25,0.435
"17",26,0.422
"18",27,0.409
"19",28,0.396
"20",29,0.383
"21",30,0.37
"22",31,0.369
"23",32,0.368
"24",33,0.367
"25",34,0.366
"26",35,0.365
"27",36,0.364
"28",37,0.363
"29",38,0.362
"30",39,0.361
"31",40,0.36
"32",41,0.356
"33",42,0.352
"34",43,0.348
"35",44,0.344
"36",45,0.34
"37",46,0.336
"38",47,0.332
"39",48,0.328
"40",49,0.324
"41",50,0.32
"42",51,0.325
"43",52,0.33
"44",53,0.335
"45",54,0.34
"46",55,0.345
"47",56,0.35
"48",57,0.355
"49",58,0.36
"50",59,0.365
"51",60,0.37
"52",61,0.363
"53",62,0.356
"54",63,0.349
"55",64,0.342
"56",65,0.335
"57",66,0.328
"58",67,0.321
"59",68,0.314
"60",69,0.307
"61",70,0.3
"62",71,0.294
"63",72,0.288
"64",73,0.282
"65",74,0.276
"66",75,0.27
"67",76,0.264
"68",77,0.258
"69",78,0.252
"70",79,0.246
"71",80,0.24
"72",81,0.247
"73",82,0.254
"74",83,0.261
"75",84,0.268
"76",85,0.275
"77",86,0.282
"78",87,0.289
"79",88,0.296
"80",89,0.303
"81",90,0.31
"82",91,0.308
"83",92,0.306
"84",93,0.304
"85",94,0.302
"86",95,0.3
"87",96,0.298
"88",97,0.296
"89",98,0.294
"90",99,0.292
"91",100,0.29
"92",101,0.292
"93",102,0.294
"94",103,0.296
"95",104,0.298
"96",105,0.3
"97",106,0.302
"98",107,0.304
"99",108,0.306
"100",109,0.308
"101",110,0.31
"102",111,0.303
"103",112,0.296
"104",113,0.289
"105",114,0.282
"106",115,0.275
"107",116,0.268
"108",117,0.261
"109",118,0.254
"110",119,0.247
"111",120,0.24
"112",121,0.242
"113",122,0.244
"114",123,0.246
"115",124,0.248
"116",125,0.25
"117",126,0.252
"118",127,0.254
"119",128,0.256
"120",129,0.258
"121",130,0.26
"122",131,0.26
"123",132,0.26
"124",133,0.26
"125",134,0.26
"126",135,0.26
"127",136,0.26
"128",137,0.26
