"","Sample_Size","Power"
"1",10,0.68
"2",11,0.661
"3",12,0.642
"4",13,0.623
"5",14,0.604
"6",15,0.585
"7",16,0.566
"8",17,0.547
"9",18,0.528
"10",19,0.509
"11",20,0.49
"12",21,0.48
"13",22,0.47
"14",23,0.46
"15",24,0.45
"16",25,0.44
"17",26,0.43
"18",27,0.42
"19",28,0.41
"20",29,0.4
"21",30,0.39
"22",31,0.39
"23",32,0.39
"24",33,0.39
"25",34,0.39
"26",35,0.39
"27",36,0.39
"28",37,0.39
"29",38,0.39
"30",39,0.39
"31",40,0.39
"32",41,0.383
"33",42,0.376
"34",43,0.369
"35",44,0.362
"36",45,0.355
"37",46,0.348
"38",47,0.341
"39",48,0.334
"40",49,0.327
"41",50,0.32
"42",51,0.322
"43",52,0.324
"44",53,0.326
"45",54,0.328
"46",55,0.33
"47",56,0.332
"48",57,0.334
"49",58,0.336
"50",59,0.338
"51",60,0.34
"52",61,0.343
"53",62,0.346
"54",63,0.349
"55",64,0.352
"56",65,0.355
"57",66,0.358
"58",67,0.361
"59",68,0.364
"60",69,0.367
"61",70,0.37
"62",71,0.359
"63",72,0.348
"64",73,0.337
"65",74,0.326
"66",75,0.315
"67",76,0.304
"68",77,0.293
"69",78,0.282
"70",79,0.271
"71",80,0.26
"72",81,0.26
"73",82,0.26
"74",83,0.26
"75",84,0.26
"76",85,0.26
"77",86,0.26
"78",87,0.26
"79",88,0.26
"80",89,0.26
"81",90,0.26
"82",91,0.254
"83",92,0.248
"84",93,0.242
"85",94,0.236
"86",95,0.23
"87",96,0.224
"88",97,0.218
"89",98,0.212
"90",99,0.206
"91",100,0.2
"92",101,0.206
"93",102,0.212
"94",103,0.218
"95",104,0.224
"96",105,0.23
"97",106,0.236
"98",107,0.242
"99",108,0.248
"100",109,0.254
"101",110,0.26
"102",111,0.256
"103",112,0.252
"104",113,0.248
"105",114,0.244
"106",115,0.24
"107",116,0.236
"108",117,0.232
"109",118,0.228
"110",119,0.224
"111",120,0.22
"112",121,0.218
"113",122,0.216
"114",123,0.214
"115",124,0.212
"116",125,0.21
"117",126,0.208
"118",127,0.206
"119",128,0.204
"120",129,0.202
"121",130,0.2
"122",131,0.206
"123",132,0.212
"124",133,0.218
"125",134,0.224
"126",135,0.23
"127",136,0.236
"128",137,0.242
"129",138,0.248
"130",139,0.254
"131",140,0.26
"132",141,0.251
"133",142,0.242
"134",143,0.233
"135",144,0.224
"136",145,0.215
"137",146,0.206
"138",147,0.197
"139",148,0.188
"140",149,0.179
"141",150,0.17
"142",151,0.172
"143",152,0.174
"144",153,0.176
"145",154,0.178
"146",155,0.18
"147",156,0.182
"148",157,0.184
"149",158,0.186
"150",159,0.188
"151",160,0.19
"152",161,0.202
"153",162,0.214
"154",163,0.226
"155",164,0.238
"156",165,0.25
"157",166,0.262
"158",167,0.274
"159",168,0.286
"160",169,0.298
"161",170,0.31
"162",171,0.308
"163",172,0.306
"164",173,0.304
"165",174,0.302
"166",175,0.3
"167",176,0.298
"168",177,0.296
"169",178,0.294
"170",179,0.292
"171",180,0.29
"172",181,0.278
"173",182,0.266
"174",183,0.254
"175",184,0.242
"176",185,0.23
"177",186,0.218
"178",187,0.206
"179",188,0.194
"180",189,0.182
"181",190,0.17
"182",191,0.179
"183",192,0.188
"184",193,0.197
"185",194,0.206
"186",195,0.215
"187",196,0.224
"188",197,0.233
"189",198,0.242
"190",199,0.251
"191",200,0.26
"192",201,0.245
"193",202,0.23
"194",203,0.215
"195",204,0.2
"196",205,0.185
"197",206,0.17
"198",207,0.155
"199",208,0.14
"200",209,0.125
"201",210,0.11
"202",211,0.114
"203",212,0.118
"204",213,0.122
"205",214,0.126
"206",215,0.13
"207",216,0.134
"208",217,0.138
"209",218,0.142
"210",219,0.146
"211",220,0.15
"212",221,0.16
"213",222,0.17
"214",223,0.18
"215",224,0.19
"216",225,0.2
"217",226,0.21
"218",227,0.22
"219",228,0.23
"220",229,0.24
"221",230,0.25
"222",231,0.245
"223",232,0.24
"224",233,0.235
"225",234,0.23
"226",235,0.225
"227",236,0.22
"228",237,0.215
"229",238,0.21
"230",239,0.205
"231",240,0.2
"232",241,0.2
"233",242,0.2
"234",243,0.2
"235",244,0.2
"236",245,0.2
"237",246,0.2
"238",247,0.2
"239",248,0.2
"240",249,0.2
"241",250,0.2
"242",251,0.197
"243",252,0.194
"244",253,0.191
"245",254,0.188
"246",255,0.185
"247",256,0.182
"248",257,0.179
"249",258,0.176
"250",259,0.173
"251",260,0.17
"252",261,0.175
"253",262,0.18
"254",263,0.185
"255",264,0.19
"256",265,0.195
"257",266,0.2
"258",267,0.205
"259",268,0.21
"260",269,0.215
"261",270,0.22
"262",271,0.212
"263",272,0.204
"264",273,0.196
"265",274,0.188
"266",275,0.18
"267",276,0.172
"268",277,0.164
"269",278,0.156
"270",279,0.148
"271",280,0.14
"272",281,0.148
"273",282,0.156
"274",283,0.164
"275",284,0.172
"276",285,0.18
"277",286,0.188
"278",287,0.196
"279",288,0.204
"280",289,0.212
"281",290,0.22
"282",291,0.219
"283",292,0.218
"284",293,0.217
"285",294,0.216
"286",295,0.215
"287",296,0.214
"288",297,0.213
"289",298,0.212
"290",299,0.211
"291",300,0.21
"292",301,0.203
"293",302,0.196
"294",303,0.189
"295",304,0.182
"296",305,0.175
"297",306,0.168
"298",307,0.161
"299",308,0.154
"300",309,0.147
"301",310,0.14
"302",311,0.145
"303",312,0.15
"304",313,0.155
"305",314,0.16
"306",315,0.165
"307",316,0.17
"308",317,0.175
"309",318,0.18
"310",319,0.185
"311",320,0.19
"312",321,0.181
"313",322,0.172
"314",323,0.163
"315",324,0.154
"316",325,0.145
"317",326,0.136
"318",327,0.127
"319",328,0.118
"320",329,0.109
"321",330,0.1
"322",331,0.109
"323",332,0.118
"324",333,0.127
"325",334,0.136
"326",335,0.145
"327",336,0.154
"328",337,0.163
"329",338,0.172
"330",339,0.181
"331",340,0.19
"332",341,0.188
"333",342,0.186
"334",343,0.184
"335",344,0.182
"336",345,0.18
"337",346,0.178
"338",347,0.176
"339",348,0.174
"340",349,0.172
"341",350,0.17
"342",351,0.174
"343",352,0.178
"344",353,0.182
"345",354,0.186
"346",355,0.19
"347",356,0.194
"348",357,0.198
"349",358,0.202
"350",359,0.206
"351",360,0.21
"352",361,0.21
"353",362,0.21
"354",363,0.21
"355",364,0.21
"356",365,0.21
"357",366,0.21
"358",367,0.21
"359",368,0.21
"360",369,0.21
"361",370,0.21
"362",371,0.199
"363",372,0.188
"364",373,0.177
"365",374,0.166
"366",375,0.155
"367",376,0.144
"368",377,0.133
"369",378,0.122
"370",379,0.111
"371",380,0.1
"372",381,0.108
"373",382,0.116
"374",383,0.124
"375",384,0.132
"376",385,0.14
"377",386,0.148
"378",387,0.156
"379",388,0.164
"380",389,0.172
"381",390,0.18
"382",391,0.177
"383",392,0.174
"384",393,0.171
"385",394,0.168
"386",395,0.165
"387",396,0.162
"388",397,0.159
"389",398,0.156
"390",399,0.153
"391",400,0.15
"392",401,0.155
"393",402,0.16
"394",403,0.165
"395",404,0.17
"396",405,0.175
"397",406,0.18
"398",407,0.185
"399",408,0.19
"400",409,0.195
"401",410,0.2
"402",411,0.192
"403",412,0.184
"404",413,0.176
"405",414,0.168
"406",415,0.16
"407",416,0.152
"408",417,0.144
"409",418,0.136
"410",419,0.128
"411",420,0.12
"412",421,0.121
"413",422,0.122
"414",423,0.123
"415",424,0.124
"416",425,0.125
"417",426,0.126
"418",427,0.127
"419",428,0.128
"420",429,0.129
"421",430,0.13
"422",431,0.135
"423",432,0.14
"424",433,0.145
"425",434,0.15
"426",435,0.155
"427",436,0.16
"428",437,0.165
"429",438,0.17
"430",439,0.175
"431",440,0.18
"432",441,0.179
"433",442,0.178
"434",443,0.177
"435",444,0.176
"436",445,0.175
"437",446,0.174
"438",447,0.173
"439",448,0.172
"440",449,0.171
"441",450,0.17
"442",451,0.171
"443",452,0.172
"444",453,0.173
"445",454,0.174
"446",455,0.175
"447",456,0.176
"448",457,0.177
"449",458,0.178
"450",459,0.179
"451",460,0.18
"452",461,0.18
"453",462,0.18
"454",463,0.18
"455",464,0.18
"456",465,0.18
"457",466,0.18
"458",467,0.18
"459",468,0.18
"460",469,0.18
"461",470,0.18
"462",471,0.182
"463",472,0.184
"464",473,0.186
"465",474,0.188
"466",475,0.19
"467",476,0.192
"468",477,0.194
"469",478,0.196
"470",479,0.198
"471",480,0.2
"472",481,0.193
"473",482,0.186
"474",483,0.179
"475",484,0.172
"476",485,0.165
"477",486,0.158
"478",487,0.151
"479",488,0.144
"480",489,0.137
