"","Sample_Size","Power"
"1",10,0.61
"2",11,0.613
"3",12,0.616
"4",13,0.619
"5",14,0.622
"6",15,0.625
"7",16,0.628
"8",17,0.631
"9",18,0.634
"10",19,0.637
"11",20,0.64
"12",21,0.631
"13",22,0.622
"14",23,0.613
"15",24,0.604
"16",25,0.595
"17",26,0.586
"18",27,0.577
"19",28,0.568
"20",29,0.559
"21",30,0.55
"22",31,0.56
"23",32,0.57
"24",33,0.58
"25",34,0.59
"26",35,0.6
"27",36,0.61
"28",37,0.62
"29",38,0.63
"30",39,0.64
"31",40,0.65
"32",41,0.646
"33",42,0.642
"34",43,0.638
"35",44,0.634
"36",45,0.63
"37",46,0.626
"38",47,0.622
"39",48,0.618
"40",49,0.614
"41",50,0.61
"42",51,0.611
"43",52,0.612
"44",53,0.613
"45",54,0.614
"46",55,0.615
"47",56,0.616
"48",57,0.617
"49",58,0.618
"50",59,0.619
"51",60,0.62
"52",61,0.618
"53",62,0.616
"54",63,0.614
"55",64,0.612
"56",65,0.61
"57",66,0.608
"58",67,0.606
"59",68,0.604
"60",69,0.602
"61",70,0.6
"62",71,0.619
"63",72,0.638
"64",73,0.657
"65",74,0.676
"66",75,0.695
"67",76,0.714
"68",77,0.733
"69",78,0.752
"70",79,0.771
"71",80,0.79
"72",81,0.784
"73",82,0.778
"74",83,0.772
"75",84,0.766
"76",85,0.76
"77",86,0.754
"78",87,0.748
"79",88,0.742
"80",89,0.736
"81",90,0.73
"82",91,0.732
"83",92,0.734
"84",93,0.736
"85",94,0.738
"86",95,0.74
"87",96,0.742
"88",97,0.744
"89",98,0.746
"90",99,0.748
"91",100,0.75
"92",101,0.756
"93",102,0.762
"94",103,0.768
"95",104,0.774
"96",105,0.78
"97",106,0.786
"98",107,0.792
"99",108,0.798
"100",109,0.804
"101",110,0.81
"102",111,0.807
"103",112,0.804
"104",113,0.801
"105",114,0.798
"106",115,0.795
"107",116,0.792
"108",117,0.789
"109",118,0.786
"110",119,0.783
"111",120,0.78
"112",121,0.783
"113",122,0.786
"114",123,0.789
"115",124,0.792
"116",125,0.795
"117",126,0.798
"118",127,0.801
"119",128,0.804
"120",129,0.807
"121",130,0.81
"122",131,0.818
"123",132,0.826
"124",133,0.834
"125",134,0.842
"126",135,0.85
"127",136,0.858
"128",137,0.866
"129",138,0.874
"130",139,0.882
"131",140,0.89
"132",141,0.891
"133",142,0.892
"134",143,0.893
"135",144,0.894
"136",145,0.895
"137",146,0.896
"138",147,0.897
"139",148,0.898
"140",149,0.899
"141",150,0.9
"142",151,0.897
"143",152,0.894
"144",153,0.891
"145",154,0.888
"146",155,0.885
"147",156,0.882
"148",157,0.879
"149",158,0.876
"150",159,0.873
"151",160,0.87
"152",161,0.865
"153",162,0.86
"154",163,0.855
"155",164,0.85
"156",165,0.845
"157",166,0.84
"158",167,0.835
"159",168,0.83
"160",169,0.825
"161",170,0.82
"162",171,0.825
"163",172,0.83
"164",173,0.835
"165",174,0.84
"166",175,0.845
"167",176,0.85
"168",177,0.855
"169",178,0.86
"170",179,0.865
"171",180,0.87
"172",181,0.877
"173",182,0.884
"174",183,0.891
"175",184,0.898
"176",185,0.905
"177",186,0.912
"178",187,0.919
"179",188,0.926
"180",189,0.933
"181",190,0.94
"182",191,0.935
"183",192,0.93
"184",193,0.925
"185",194,0.92
"186",195,0.915
"187",196,0.91
"188",197,0.905
"189",198,0.9
"190",199,0.895
"191",200,0.89
"192",201,0.892
"193",202,0.894
"194",203,0.896
"195",204,0.898
"196",205,0.9
"197",206,0.902
"198",207,0.904
"199",208,0.906
"200",209,0.908
"201",210,0.91
"202",211,0.91
"203",212,0.91
"204",213,0.91
"205",214,0.91
"206",215,0.91
"207",216,0.91
"208",217,0.91
"209",218,0.91
"210",219,0.91
"211",220,0.91
"212",221,0.912
"213",222,0.914
"214",223,0.916
"215",224,0.918
"216",225,0.92
"217",226,0.922
"218",227,0.924
"219",228,0.926
"220",229,0.928
"221",230,0.93
"222",231,0.932
"223",232,0.934
"224",233,0.936
"225",234,0.938
"226",235,0.94
"227",236,0.942
"228",237,0.944
"229",238,0.946
"230",239,0.948
"231",240,0.95
"232",241,0.952
"233",242,0.954
"234",243,0.956
"235",244,0.958
"236",245,0.96
"237",246,0.962
"238",247,0.964
"239",248,0.966
"240",249,0.968
