"","Sample_Size","Power"
"1",10,0.7
"2",11,0.68
"3",12,0.66
"4",13,0.64
"5",14,0.62
"6",15,0.6
"7",16,0.58
"8",17,0.56
"9",18,0.54
"10",19,0.52
"11",20,0.5
"12",21,0.497
"13",22,0.494
"14",23,0.491
"15",24,0.488
"16",25,0.485
"17",26,0.482
"18",27,0.479
"19",28,0.476
"20",29,0.473
"21",30,0.47
"22",31,0.458
"23",32,0.446
"24",33,0.434
"25",34,0.422
"26",35,0.41
"27",36,0.398
"28",37,0.386
"29",38,0.374
"30",39,0.362
"31",40,0.35
"32",41,0.348
"33",42,0.346
"34",43,0.344
"35",44,0.342
"36",45,0.34
"37",46,0.338
"38",47,0.336
"39",48,0.334
"40",49,0.332
"41",50,0.33
"42",51,0.327
"43",52,0.324
"44",53,0.321
"45",54,0.318
"46",55,0.315
"47",56,0.312
"48",57,0.309
"49",58,0.306
"50",59,0.303
"51",60,0.3
"52",61,0.303
"53",62,0.306
"54",63,0.309
"55",64,0.312
"56",65,0.315
"57",66,0.318
"58",67,0.321
"59",68,0.324
"60",69,0.327
"61",70,0.33
"62",71,0.318
"63",72,0.306
"64",73,0.294
"65",74,0.282
"66",75,0.27
"67",76,0.258
"68",77,0.246
"69",78,0.234
"70",79,0.222
"71",80,0.21
"72",81,0.214
"73",82,0.218
"74",83,0.222
"75",84,0.226
"76",85,0.23
"77",86,0.234
"78",87,0.238
"79",88,0.242
"80",89,0.246
"81",90,0.25
"82",91,0.245
"83",92,0.24
"84",93,0.235
"85",94,0.23
"86",95,0.225
"87",96,0.22
"88",97,0.215
"89",98,0.21
"90",99,0.205
"91",100,0.2
"92",101,0.205
"93",102,0.21
"94",103,0.215
"95",104,0.22
"96",105,0.225
"97",106,0.23
"98",107,0.235
"99",108,0.24
"100",109,0.245
"101",110,0.25
"102",111,0.243
"103",112,0.236
"104",113,0.229
"105",114,0.222
"106",115,0.215
"107",116,0.208
"108",117,0.201
"109",118,0.194
"110",119,0.187
"111",120,0.18
"112",121,0.182
"113",122,0.184
"114",123,0.186
"115",124,0.188
"116",125,0.19
"117",126,0.192
"118",127,0.194
"119",128,0.196
"120",129,0.198
"121",130,0.2
"122",131,0.198
"123",132,0.196
"124",133,0.194
"125",134,0.192
"126",135,0.19
"127",136,0.188
"128",137,0.186
"129",138,0.184
"130",139,0.182
"131",140,0.18
"132",141,0.18
"133",142,0.18
"134",143,0.18
"135",144,0.18
"136",145,0.18
"137",146,0.18
"138",147,0.18
"139",148,0.18
"140",149,0.18
"141",150,0.18
"142",151,0.183
"143",152,0.186
"144",153,0.189
"145",154,0.192
"146",155,0.195
"147",156,0.198
"148",157,0.201
"149",158,0.204
"150",159,0.207
"151",160,0.21
"152",161,0.214
"153",162,0.218
"154",163,0.222
"155",164,0.226
"156",165,0.23
"157",166,0.234
"158",167,0.238
"159",168,0.242
"160",169,0.246
"161",170,0.25
"162",171,0.25
"163",172,0.25
"164",173,0.25
"165",174,0.25
"166",175,0.25
"167",176,0.25
"168",177,0.25
"169",178,0.25
"170",179,0.25
"171",180,0.25
"172",181,0.243
"173",182,0.236
"174",183,0.229
"175",184,0.222
"176",185,0.215
"177",186,0.208
"178",187,0.201
"179",188,0.194
"180",189,0.187
"181",190,0.18
"182",191,0.188
"183",192,0.196
"184",193,0.204
"185",194,0.212
"186",195,0.22
"187",196,0.228
"188",197,0.236
"189",198,0.244
"190",199,0.252
"191",200,0.26
"192",201,0.252
"193",202,0.244
"194",203,0.236
"195",204,0.228
"196",205,0.22
"197",206,0.212
"198",207,0.204
"199",208,0.196
"200",209,0.188
"201",210,0.18
"202",211,0.184
"203",212,0.188
"204",213,0.192
"205",214,0.196
"206",215,0.2
"207",216,0.204
"208",217,0.208
"209",218,0.212
"210",219,0.216
"211",220,0.22
"212",221,0.216
"213",222,0.212
"214",223,0.208
"215",224,0.204
"216",225,0.2
"217",226,0.196
"218",227,0.192
"219",228,0.188
"220",229,0.184
"221",230,0.18
"222",231,0.179
"223",232,0.178
"224",233,0.177
"225",234,0.176
"226",235,0.175
"227",236,0.174
"228",237,0.173
"229",238,0.172
"230",239,0.171
"231",240,0.17
"232",241,0.17
"233",242,0.17
"234",243,0.17
"235",244,0.17
"236",245,0.17
"237",246,0.17
"238",247,0.17
"239",248,0.17
"240",249,0.17
"241",250,0.17
"242",251,0.171
"243",252,0.172
"244",253,0.173
"245",254,0.174
"246",255,0.175
"247",256,0.176
"248",257,0.177
"249",258,0.178
"250",259,0.179
"251",260,0.18
"252",261,0.181
"253",262,0.182
"254",263,0.183
"255",264,0.184
"256",265,0.185
"257",266,0.186
"258",267,0.187
"259",268,0.188
"260",269,0.189
"261",270,0.19
"262",271,0.189
"263",272,0.188
"264",273,0.187
"265",274,0.186
"266",275,0.185
"267",276,0.184
"268",277,0.183
"269",278,0.182
"270",279,0.181
"271",280,0.18
"272",281,0.177
"273",282,0.174
"274",283,0.171
"275",284,0.168
"276",285,0.165
"277",286,0.162
"278",287,0.159
"279",288,0.156
"280",289,0.153
"281",290,0.15
"282",291,0.148
"283",292,0.146
"284",293,0.144
"285",294,0.142
"286",295,0.14
"287",296,0.138
"288",297,0.136
"289",298,0.134
"290",299,0.132
"291",300,0.13
"292",301,0.132
"293",302,0.134
"294",303,0.136
"295",304,0.138
"296",305,0.14
"297",306,0.142
"298",307,0.144
"299",308,0.146
"300",309,0.148
"301",310,0.15
"302",311,0.151
"303",312,0.152
"304",313,0.153
"305",314,0.154
"306",315,0.155
"307",316,0.156
"308",317,0.157
"309",318,0.158
"310",319,0.159
"311",320,0.16
"312",321,0.158
"313",322,0.156
"314",323,0.154
"315",324,0.152
"316",325,0.15
"317",326,0.148
"318",327,0.146
"319",328,0.144
"320",329,0.142
"321",330,0.14
"322",331,0.142
"323",332,0.144
"324",333,0.146
"325",334,0.148
"326",335,0.15
"327",336,0.152
"328",337,0.154
"329",338,0.156
"330",339,0.158
"331",340,0.16
"332",341,0.162
"333",342,0.164
"334",343,0.166
"335",344,0.168
"336",345,0.17
"337",346,0.172
"338",347,0.174
"339",348,0.176
"340",349,0.178
"341",350,0.18
"342",351,0.176
"343",352,0.172
"344",353,0.168
"345",354,0.164
"346",355,0.16
"347",356,0.156
"348",357,0.152
"349",358,0.148
"350",359,0.144
"351",360,0.14
"352",361,0.146
"353",362,0.152
"354",363,0.158
"355",364,0.164
"356",365,0.17
"357",366,0.176
"358",367,0.182
"359",368,0.188
"360",369,0.194
"361",370,0.2
"362",371,0.192
"363",372,0.184
"364",373,0.176
"365",374,0.168
"366",375,0.16
"367",376,0.152
"368",377,0.144
"369",378,0.136
"370",379,0.128
"371",380,0.12
"372",381,0.127
"373",382,0.134
"374",383,0.141
"375",384,0.148
"376",385,0.155
"377",386,0.162
"378",387,0.169
"379",388,0.176
"380",389,0.183
"381",390,0.19
"382",391,0.19
"383",392,0.19
"384",393,0.19
"385",394,0.19
"386",395,0.19
"387",396,0.19
"388",397,0.19
"389",398,0.19
"390",399,0.19
"391",400,0.19
"392",401,0.185
"393",402,0.18
"394",403,0.175
"395",404,0.17
"396",405,0.165
"397",406,0.16
"398",407,0.155
"399",408,0.15
"400",409,0.145
"401",410,0.14
"402",411,0.138
"403",412,0.136
"404",413,0.134
"405",414,0.132
"406",415,0.13
"407",416,0.128
"408",417,0.126
"409",418,0.124
"410",419,0.122
"411",420,0.12
"412",421,0.119
"413",422,0.118
"414",423,0.117
"415",424,0.116
"416",425,0.115
"417",426,0.114
"418",427,0.113
"419",428,0.112
"420",429,0.111
"421",430,0.11
"422",431,0.115
"423",432,0.12
"424",433,0.125
"425",434,0.13
"426",435,0.135
"427",436,0.14
"428",437,0.145
"429",438,0.15
"430",439,0.155
"431",440,0.16
"432",441,0.158
"433",442,0.156
"434",443,0.154
"435",444,0.152
"436",445,0.15
"437",446,0.148
"438",447,0.146
"439",448,0.144
"440",449,0.142
"441",450,0.14
"442",451,0.147
"443",452,0.154
"444",453,0.161
"445",454,0.168
"446",455,0.175
"447",456,0.182
"448",457,0.189
"449",458,0.196
"450",459,0.203
"451",460,0.21
"452",461,0.211
"453",462,0.212
"454",463,0.213
"455",464,0.214
"456",465,0.215
"457",466,0.216
"458",467,0.217
"459",468,0.218
"460",469,0.219
"461",470,0.22
"462",471,0.219
"463",472,0.218
"464",473,0.217
"465",474,0.216
"466",475,0.215
"467",476,0.214
"468",477,0.213
"469",478,0.212
"470",479,0.211
"471",480,0.21
"472",481,0.206
"473",482,0.202
"474",483,0.198
"475",484,0.194
"476",485,0.19
"477",486,0.186
"478",487,0.182
"479",488,0.178
"480",489,0.174
"481",490,0.17
"482",491,0.171
"483",492,0.172
"484",493,0.173
"485",494,0.174
"486",495,0.175
"487",496,0.176
"488",497,0.177
"489",498,0.178
"490",499,0.179
"491",500,0.18
"492",501,0.1788
"493",502,0.1776
"494",503,0.1764
"495",504,0.1752
"496",505,0.174
"497",506,0.1728
"498",507,0.1716
"499",508,0.1704
"500",509,0.1692
"501",510,0.168
"502",511,0.1668
"503",512,0.1656
"504",513,0.1644
"505",514,0.1632
"506",515,0.162
"507",516,0.1608
"508",517,0.1596
"509",518,0.1584
"510",519,0.1572
"511",520,0.156
"512",521,0.1548
"513",522,0.1536
"514",523,0.1524
"515",524,0.1512
"516",525,0.15
"517",526,0.1488
"518",527,0.1476
"519",528,0.1464
"520",529,0.1452
"521",530,0.144
"522",531,0.1428
"523",532,0.1416
"524",533,0.1404
"525",534,0.1392
"526",535,0.138
"527",536,0.1368
"528",537,0.1356
"529",538,0.1344
"530",539,0.1332
"531",540,0.132
"532",541,0.1308
"533",542,0.1296
"534",543,0.1284
"535",544,0.1272
"536",545,0.126
"537",546,0.1248
"538",547,0.1236
"539",548,0.1224
"540",549,0.1212
"541",550,0.12
"542",551,0.1196
"543",552,0.1192
"544",553,0.1188
"545",554,0.1184
"546",555,0.118
"547",556,0.1176
"548",557,0.1172
"549",558,0.1168
"550",559,0.1164
"551",560,0.116
"552",561,0.1156
"553",562,0.1152
"554",563,0.1148
"555",564,0.1144
"556",565,0.114
"557",566,0.1136
"558",567,0.1132
"559",568,0.1128
"560",569,0.1124
"561",570,0.112
"562",571,0.1116
"563",572,0.1112
"564",573,0.1108
"565",574,0.1104
"566",575,0.11
"567",576,0.1096
"568",577,0.1092
"569",578,0.1088
"570",579,0.1084
"571",580,0.108
"572",581,0.1076
"573",582,0.1072
"574",583,0.1068
"575",584,0.1064
"576",585,0.106
"577",586,0.1056
"578",587,0.1052
"579",588,0.1048
"580",589,0.1044
"581",590,0.104
"582",591,0.1036
"583",592,0.1032
"584",593,0.1028
"585",594,0.1024
"586",595,0.102
"587",596,0.1016
"588",597,0.1012
"589",598,0.1008
"590",599,0.1004
"591",600,0.1
