"","Sample_Size","Power"
"1",10,0.71
"2",11,0.694
"3",12,0.678
"4",13,0.662
"5",14,0.646
"6",15,0.63
"7",16,0.614
"8",17,0.598
"9",18,0.582
"10",19,0.566
"11",20,0.55
"12",21,0.54
"13",22,0.53
"14",23,0.52
"15",24,0.51
"16",25,0.5
"17",26,0.49
"18",27,0.48
"19",28,0.47
"20",29,0.46
"21",30,0.45
"22",31,0.449
"23",32,0.448
"24",33,0.447
"25",34,0.446
"26",35,0.445
"27",36,0.444
"28",37,0.443
"29",38,0.442
"30",39,0.441
"31",40,0.44
"32",41,0.434
"33",42,0.428
"34",43,0.422
"35",44,0.416
"36",45,0.41
"37",46,0.404
"38",47,0.398
"39",48,0.392
"40",49,0.386
"41",50,0.38
"42",51,0.382
"43",52,0.384
"44",53,0.386
"45",54,0.388
"46",55,0.39
"47",56,0.392
"48",57,0.394
"49",58,0.396
"50",59,0.398
"51",60,0.4
"52",61,0.389
"53",62,0.378
"54",63,0.367
"55",64,0.356
"56",65,0.345
"57",66,0.334
"58",67,0.323
"59",68,0.312
"60",69,0.301
"61",70,0.29
"62",71,0.294
"63",72,0.298
"64",73,0.302
"65",74,0.306
"66",75,0.31
"67",76,0.314
"68",77,0.318
"69",78,0.322
"70",79,0.326
"71",80,0.33
"72",81,0.335
"73",82,0.34
"74",83,0.345
"75",84,0.35
"76",85,0.355
"77",86,0.36
"78",87,0.365
"79",88,0.37
"80",89,0.375
"81",90,0.38
"82",91,0.368
"83",92,0.356
"84",93,0.344
"85",94,0.332
"86",95,0.32
"87",96,0.308
"88",97,0.296
"89",98,0.284
"90",99,0.272
"91",100,0.26
"92",101,0.263
"93",102,0.266
"94",103,0.269
"95",104,0.272
"96",105,0.275
"97",106,0.278
"98",107,0.281
"99",108,0.284
"100",109,0.287
"101",110,0.29
"102",111,0.284
"103",112,0.278
"104",113,0.272
"105",114,0.266
"106",115,0.26
"107",116,0.254
"108",117,0.248
"109",118,0.242
"110",119,0.236
"111",120,0.23
"112",121,0.238
"113",122,0.246
"114",123,0.254
"115",124,0.262
"116",125,0.27
"117",126,0.278
"118",127,0.286
"119",128,0.294
"120",129,0.302
"121",130,0.31
"122",131,0.306
"123",132,0.302
"124",133,0.298
"125",134,0.294
"126",135,0.29
"127",136,0.286
"128",137,0.282
"129",138,0.278
"130",139,0.274
"131",140,0.27
"132",141,0.265
"133",142,0.26
"134",143,0.255
"135",144,0.25
"136",145,0.245
"137",146,0.24
"138",147,0.235
"139",148,0.23
"140",149,0.225
"141",150,0.22
"142",151,0.229
"143",152,0.238
"144",153,0.247
"145",154,0.256
"146",155,0.265
"147",156,0.274
"148",157,0.283
"149",158,0.292
"150",159,0.301
"151",160,0.31
"152",161,0.307
"153",162,0.304
"154",163,0.301
"155",164,0.298
"156",165,0.295
"157",166,0.292
"158",167,0.289
"159",168,0.286
"160",169,0.283
"161",170,0.28
"162",171,0.286
"163",172,0.292
"164",173,0.298
"165",174,0.304
"166",175,0.31
"167",176,0.316
"168",177,0.322
"169",178,0.328
"170",179,0.334
"171",180,0.34
"172",181,0.328
"173",182,0.316
"174",183,0.304
"175",184,0.292
"176",185,0.28
"177",186,0.268
"178",187,0.256
"179",188,0.244
"180",189,0.232
"181",190,0.22
"182",191,0.224
"183",192,0.228
"184",193,0.232
"185",194,0.236
"186",195,0.24
"187",196,0.244
"188",197,0.248
"189",198,0.252
"190",199,0.256
"191",200,0.26
"192",201,0.257
"193",202,0.254
"194",203,0.251
"195",204,0.248
"196",205,0.245
"197",206,0.242
"198",207,0.239
"199",208,0.236
"200",209,0.233
"201",210,0.23
"202",211,0.228
"203",212,0.226
"204",213,0.224
"205",214,0.222
"206",215,0.22
"207",216,0.218
"208",217,0.216
