"","Sample_Size","Power"
"1",10,0.71
"2",11,0.689
"3",12,0.668
"4",13,0.647
"5",14,0.626
"6",15,0.605
"7",16,0.584
"8",17,0.563
"9",18,0.542
"10",19,0.521
"11",20,0.5
"12",21,0.49
"13",22,0.48
"14",23,0.47
"15",24,0.46
"16",25,0.45
"17",26,0.44
"18",27,0.43
"19",28,0.42
"20",29,0.41
"21",30,0.4
"22",31,0.393
"23",32,0.386
"24",33,0.379
"25",34,0.372
"26",35,0.365
"27",36,0.358
"28",37,0.351
"29",38,0.344
"30",39,0.337
"31",40,0.33
"32",41,0.333
"33",42,0.336
"34",43,0.339
"35",44,0.342
"36",45,0.345
"37",46,0.348
"38",47,0.351
"39",48,0.354
"40",49,0.357
"41",50,0.36
"42",51,0.349
"43",52,0.338
"44",53,0.327
"45",54,0.316
"46",55,0.305
"47",56,0.294
"48",57,0.283
"49",58,0.272
"50",59,0.261
"51",60,0.25
"52",61,0.254
"53",62,0.258
"54",63,0.262
"55",64,0.266
"56",65,0.27
"57",66,0.274
"58",67,0.278
"59",68,0.282
"60",69,0.286
"61",70,0.29
"62",71,0.293
"63",72,0.296
"64",73,0.299
"65",74,0.302
"66",75,0.305
"67",76,0.308
"68",77,0.311
"69",78,0.314
"70",79,0.317
"71",80,0.32
"72",81,0.313
"73",82,0.306
"74",83,0.299
"75",84,0.292
"76",85,0.285
"77",86,0.278
"78",87,0.271
"79",88,0.264
"80",89,0.257
"81",90,0.25
"82",91,0.251
"83",92,0.252
"84",93,0.253
"85",94,0.254
"86",95,0.255
"87",96,0.256
"88",97,0.257
"89",98,0.258
"90",99,0.259
"91",100,0.26
"92",101,0.265
"93",102,0.27
"94",103,0.275
"95",104,0.28
"96",105,0.285
"97",106,0.29
"98",107,0.295
"99",108,0.3
"100",109,0.305
"101",110,0.31
"102",111,0.302
"103",112,0.294
"104",113,0.286
"105",114,0.278
"106",115,0.27
"107",116,0.262
"108",117,0.254
"109",118,0.246
"110",119,0.238
"111",120,0.23
"112",121,0.231
"113",122,0.232
"114",123,0.233
"115",124,0.234
"116",125,0.235
"117",126,0.236
"118",127,0.237
"119",128,0.238
"120",129,0.239
"121",130,0.24
"122",131,0.237
"123",132,0.234
"124",133,0.231
"125",134,0.228
"126",135,0.225
"127",136,0.222
"128",137,0.219
"129",138,0.216
"130",139,0.213
"131",140,0.21
"132",141,0.204
"133",142,0.198
"134",143,0.192
"135",144,0.186
"136",145,0.18
"137",146,0.174
"138",147,0.168
"139",148,0.162
"140",149,0.156
"141",150,0.15
"142",151,0.159
"143",152,0.168
"144",153,0.177
"145",154,0.186
"146",155,0.195
"147",156,0.204
"148",157,0.213
"149",158,0.222
"150",159,0.231
"151",160,0.24
"152",161,0.238
"153",162,0.236
"154",163,0.234
"155",164,0.232
"156",165,0.23
"157",166,0.228
"158",167,0.226
"159",168,0.224
"160",169,0.222
"161",170,0.22
"162",171,0.227
"163",172,0.234
"164",173,0.241
"165",174,0.248
"166",175,0.255
"167",176,0.262
"168",177,0.269
"169",178,0.276
"170",179,0.283
"171",180,0.29
"172",181,0.277
"173",182,0.264
"174",183,0.251
"175",184,0.238
"176",185,0.225
"177",186,0.212
"178",187,0.199
"179",188,0.186
"180",189,0.173
"181",190,0.16
"182",191,0.173
"183",192,0.186
"184",193,0.199
"185",194,0.212
"186",195,0.225
"187",196,0.238
"188",197,0.251
"189",198,0.264
"190",199,0.277
"191",200,0.29
"192",201,0.276
"193",202,0.262
"194",203,0.248
"195",204,0.234
"196",205,0.22
"197",206,0.206
"198",207,0.192
"199",208,0.178
"200",209,0.164
"201",210,0.15
"202",211,0.156
"203",212,0.162
"204",213,0.168
"205",214,0.174
"206",215,0.18
"207",216,0.186
"208",217,0.192
"209",218,0.198
"210",219,0.204
"211",220,0.21
"212",221,0.205
"213",222,0.2
"214",223,0.195
"215",224,0.19
"216",225,0.185
"217",226,0.18
"218",227,0.175
"219",228,0.17
"220",229,0.165
"221",230,0.16
"222",231,0.164
"223",232,0.168
"224",233,0.172
"225",234,0.176
"226",235,0.18
"227",236,0.184
"228",237,0.188
"229",238,0.192
"230",239,0.196
"231",240,0.2
"232",241,0.196
"233",242,0.192
"234",243,0.188
"235",244,0.184
"236",245,0.18
"237",246,0.176
"238",247,0.172
"239",248,0.168
"240",249,0.164
"241",250,0.16
"242",251,0.166
"243",252,0.172
"244",253,0.178
"245",254,0.184
"246",255,0.19
"247",256,0.196
"248",257,0.202
"249",258,0.208
"250",259,0.214
"251",260,0.22
"252",261,0.225
"253",262,0.23
"254",263,0.235
"255",264,0.24
"256",265,0.245
"257",266,0.25
"258",267,0.255
"259",268,0.26
"260",269,0.265
"261",270,0.27
"262",271,0.267
"263",272,0.264
"264",273,0.261
"265",274,0.258
"266",275,0.255
"267",276,0.252
"268",277,0.249
"269",278,0.246
"270",279,0.243
"271",280,0.24
"272",281,0.24
"273",282,0.24
"274",283,0.24
"275",284,0.24
"276",285,0.24
"277",286,0.24
"278",287,0.24
"279",288,0.24
"280",289,0.24
"281",290,0.24
"282",291,0.23
"283",292,0.22
"284",293,0.21
"285",294,0.2
"286",295,0.19
"287",296,0.18
"288",297,0.17
"289",298,0.16
"290",299,0.15
"291",300,0.14
"292",301,0.146
"293",302,0.152
"294",303,0.158
"295",304,0.164
"296",305,0.17
"297",306,0.176
"298",307,0.182
"299",308,0.188
"300",309,0.194
"301",310,0.2
"302",311,0.198
"303",312,0.196
"304",313,0.194
"305",314,0.192
"306",315,0.19
"307",316,0.188
"308",317,0.186
"309",318,0.184
"310",319,0.182
"311",320,0.18
"312",321,0.175
"313",322,0.17
"314",323,0.165
"315",324,0.16
"316",325,0.155
"317",326,0.15
"318",327,0.145
"319",328,0.14
"320",329,0.135
"321",330,0.13
"322",331,0.135
"323",332,0.14
"324",333,0.145
"325",334,0.15
"326",335,0.155
"327",336,0.16
"328",337,0.165
"329",338,0.17
"330",339,0.175
"331",340,0.18
"332",341,0.185
"333",342,0.19
"334",343,0.195
"335",344,0.2
"336",345,0.205
"337",346,0.21
"338",347,0.215
"339",348,0.22
"340",349,0.225
"341",350,0.23
"342",351,0.228
"343",352,0.226
"344",353,0.224
"345",354,0.222
"346",355,0.22
"347",356,0.218
"348",357,0.216
"349",358,0.214
"350",359,0.212
"351",360,0.21
"352",361,0.212
"353",362,0.214
"354",363,0.216
"355",364,0.218
"356",365,0.22
"357",366,0.222
"358",367,0.224
"359",368,0.226
"360",369,0.228
"361",370,0.23
"362",371,0.228
"363",372,0.226
"364",373,0.224
"365",374,0.222
"366",375,0.22
"367",376,0.218
"368",377,0.216
"369",378,0.214
"370",379,0.212
"371",380,0.21
"372",381,0.209
"373",382,0.208
"374",383,0.207
"375",384,0.206
"376",385,0.205
"377",386,0.204
"378",387,0.203
"379",388,0.202
"380",389,0.201
"381",390,0.2
"382",391,0.198
"383",392,0.196
"384",393,0.194
"385",394,0.192
"386",395,0.19
"387",396,0.188
"388",397,0.186
"389",398,0.184
"390",399,0.182
"391",400,0.18
"392",401,0.182
"393",402,0.184
"394",403,0.186
"395",404,0.188
"396",405,0.19
"397",406,0.192
"398",407,0.194
"399",408,0.196
"400",409,0.198
"401",410,0.2
"402",411,0.194
"403",412,0.188
"404",413,0.182
"405",414,0.176
"406",415,0.17
"407",416,0.164
"408",417,0.158
"409",418,0.152
"410",419,0.146
"411",420,0.14
"412",421,0.145
"413",422,0.15
"414",423,0.155
"415",424,0.16
"416",425,0.165
"417",426,0.17
"418",427,0.175
"419",428,0.18
"420",429,0.185
"421",430,0.19
"422",431,0.189
"423",432,0.188
"424",433,0.187
"425",434,0.186
"426",435,0.185
"427",436,0.184
"428",437,0.183
"429",438,0.182
"430",439,0.181
"431",440,0.18
"432",441,0.182
"433",442,0.184
"434",443,0.186
"435",444,0.188
"436",445,0.19
"437",446,0.192
"438",447,0.194
"439",448,0.196
"440",449,0.198
"441",450,0.2
"442",451,0.2
"443",452,0.2
"444",453,0.2
"445",454,0.2
"446",455,0.2
"447",456,0.2
"448",457,0.2
"449",458,0.2
"450",459,0.2
"451",460,0.2
"452",461,0.2
"453",462,0.2
"454",463,0.2
"455",464,0.2
"456",465,0.2
"457",466,0.2
"458",467,0.2
"459",468,0.2
"460",469,0.2
"461",470,0.2
"462",471,0.201
"463",472,0.202
"464",473,0.203
"465",474,0.204
"466",475,0.205
"467",476,0.206
"468",477,0.207
"469",478,0.208
"470",479,0.209
"471",480,0.21
"472",481,0.211
"473",482,0.212
"474",483,0.213
"475",484,0.214
"476",485,0.215
"477",486,0.216
"478",487,0.217
"479",488,0.218
"480",489,0.219
"481",490,0.22
"482",491,0.218
"483",492,0.216
"484",493,0.214
"485",494,0.212
"486",495,0.21
"487",496,0.208
"488",497,0.206
"489",498,0.204
"490",499,0.202
"491",500,0.2
